State,District,City,Latitude,Longitude
Chhattisgarh,Balrampur,-,27.43,82.18
Chhattisgarh,Bastar,-,19.07,82.02
Chhattisgarh,Bemetara,-,21.7,81.53
Chhattisgarh,Bijapur,-,16.83,75.72
Chhattisgarh,Bilaspur,-,0,0
Chhattisgarh,Dantewada,-,18.9,81.35
Chhattisgarh,Dhamtari,-,20.7,81.53
Chhattisgarh,Durg,-,21.18,81.28
Chhattisgarh,Gariaband,-,20.63,82.07
Chhattisgarh,Janjgir-Champa,-,22.02,82.57
Chhattisgarh,Jashpur,-,22.9,84.15
Chhattisgarh,Kabirdham,-,22.02,81.25
Chhattisgarh,Kanker,-,20.27,81.48
Chhattisgarh,Kondagaon,-,19.6,81.67
Chhattisgarh,Korba,-,22.35,82.68
Chhattisgarh,Koriya,-,23.25,82.55
Chhattisgarh,Mahasamund,-,21.1,82.1
Chhattisgarh,Mungeli,-,22.07,81.67
Chhattisgarh,Narayanpur,-,19.72,81.25
Chhattisgarh,Raigarh,-,21.9,83.4
Chhattisgarh,Raipur,-,20.92,82
Chhattisgarh,Rajnandgaon,-,21.1,81.03
Chhattisgarh,Sukma,-,18.4,81.67
Chhattisgarh,Surajpur,-,23.22,82.85
Chhattisgarh,Surguja,-,23.12,83.2
Goa,North Goa,-,15.48,73.82
Goa,South Goa,-,15.27,73.95
Gujarat,Ahmedabad,-,23.03,72.58
Gujarat,Amreli,-,21.42,71.25
Gujarat,Anand,-,22.57,72.93
Gujarat,Aravalli,-,24.02,73.03
Gujarat,Banaskantha,-,24.17,72.42
Gujarat,Bharuch,-,20.7,72.98
Gujarat,Bhavnagar,-,21.77,72.13
Gujarat,Botad,-,22.17,71.67
Gujarat,Chhota Udepur,-,0,0
Gujarat,Dahod,-,22.83,74.25
Gujarat,Dang,-,0,0
Gujarat,Devbhoomi Dwarka,-,22.2,69.65
Gujarat,Gandhinagar,-,23.22,72.68
Gujarat,Gir Somnath,-,0,0
Gujarat,Jamnagar,-,22.22,69.7
Gujarat,Junagadh,-,21.52,70.45
Gujarat,Kheda,-,22.75,72.68
Gujarat,Kutch,-,23.9,70.37
Gujarat,Mahisagar,-,23.12,73.62
Gujarat,Mehsana,-,23.67,72.5
Gujarat,Morbi,-,22.82,70.83
Gujarat,Narmada,-,21.87,73.5
Gujarat,Navsari,-,20.95,72.92
Gujarat,Panchmahal,-,22.75,73.6
Gujarat,Patan,-,23.83,72.12
Gujarat,Porbandar,-,21.62,69.6
Gujarat,Rajkot,-,22.3,70.78
Gujarat,Sabarkantha,-,23.6,72.95
Gujarat,Surat,-,20.92,73.05
Gujarat,Surendranagar,-,22.73,71.52
